#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
130,Channel Islands,"101,717",,228                                ,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463 ",Europe,,27740,,,952
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,"274,906"
132,DRC,"96,212",,"1,464                                ",,"84,489",,"10,259",,"1,010",15,"846,704","8,890","95,240,792 ",Africa,,"99065,055112",,,108
133,Senegal,"88,997",,"1,971                                ",,"87,024",,2,,"5,041",112,"1,146,543","64,946","17,653,671 ",Africa,,"1988,95715",,,0.1
134,Malawi,"88,728",,"2,686                                ",,"85,651",,391,67,"4,397",133,"624,784","30,959","20,180,839 ",Africa,,"2277,51332",,,19
135,Ivory Coast,"88,326",,834                                ,,"87,489",,3,,"3,184",30,"1,689,707","60,907","27,742,298 ",Africa,,"31433,26416",,,0.1
136,Suriname,"82,495",,"1,404                                ",,N/A,N/A,N/A,,"138,222","2,352","241,666","404,915","596,831 ",South America,,74252,,,"52,502"
137,New Caledonia,"79,922",,314                                ,,"79,605",,3,9,"274,726","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,10
138,French Polynesia,"78,488",,649                                ,,N/A,N/A,N/A,7,"276,207","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"156,033"
139,Eswatini,"74,627",,"1,425                                ",,"73,116",,86,,"62,986","1,203","1,048,704","885,119","1,184,817 ",Africa,,168311,,,73
140,Guyana,"73,168",,"1,298                                ",,"71,827",,43,,"92,146","1,635","728,813","917,848","794,045 ",South America,,116121,,,54
141,Belize,"70,782",,688                                ,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,22
142,Fiji,"68,921",,883                                ,,"67,029",,"1,009",,"75,782",971,"670,903","737,689","909,466 ",Australia/Oceania,,"131,0301",,,"1,109"
143,Madagascar,"68,236",,"1,424                                ",,"66,786",,26,,"2,339",49,"530,005","18,164","29,178,077 ",Africa,,"42820,49055",,,0.9
144,Sudan,"63,993",,"5,046                                ",,"58,640",,307,,"1,391",110,"562,941","12,240","45,992,020 ",Africa,,"7199,11582",,,7
145,Mauritania,"63,715",,997                                ,,"62,471",,247,,"12,998",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,50
146,Cabo Verde,"63,574",,413                                ,,"62,999",,162,23,"111,990",728,"401,622","707,482","567,678 ",Africa,,"91,3751",,,285
147,Bhutan,"62,666",,21                                ,,"61,564",,"1,081",,"79,531",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,372"
148,Syria,"57,508",,"3,164                                ",,"54,344",,0,,"2,970",163,"146,269","7,553","19,364,809 ",Asia,,"3376,120132",,,
149,Burundi,"53,740",,38                                ,,"53,569",,133,,"4,257",3,"345,742","27,386","12,624,840 ",Africa,,"235332,23337",,,11
150,Seychelles,"50,937",,172                                ,,"50,750",,15,,"512,311","1,730",,,"99,426 ",Africa,,2578,,,151
151,Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,,"487,6191",,,0.4
152,Andorra,"47,974",,165                                ,,"47,563",,246,14,"619,315","2,130","249,838","3,225,256","77,463 ",Europe,,24690,,,"3,176"
153,Papua New Guinea,"46,842",,670                                ,,"43,982",,"2,190",7,"5,041",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"19813,86937",,,236
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866"
155,Aruba,"44,114",,236                                ,,"42,438",,"1,440",2,"409,947","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,"13,382"
156,Tanzania,"42,973",,846                                ,,N/A,N/A,N/A,7,679,13,,,"63,298,550 ",Africa,,"1,47374,821",,,663
157,Mauritius,"42,152",,"1,045                                ",,"40,357",,750,,"33,067",820,"358,675","281,374","1,274,727 ",Africa,,"301,2204",,,588
158,Mayotte,"42,027",,188                                ,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038","286,259 ",Africa,,"71,5232",,,"135,804"
159,Togo,"39,487",,290                                ,,"39,184",,13,,"4,549",33,"810,964","93,420","8,680,837 ",Africa,,"22029,93411",,,1
160,Guinea,"38,462",,467                                ,,"37,757",,238,8,"2,774",34,"660,107","47,607","13,865,691 ",Africa,,"36129,69121",,,17
161,Bahamas,"38,084",,844                                ,,"36,366",,874,1,"95,087","2,107","257,839","643,767","400,516 ",North America,,114752,,,"2,182"
162,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450"
163,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,,"633,0095",,,"3,717"
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,"547,133"
165,Haiti,"34,228",,860                                ,,"33,342",,26,,"2,930",74,"132,422","11,337","11,680,283 ",North America,,"34113,58288",,,2
166,Mali,"33,144",,743                                ,,"32,324",,77,,"1,543",35,"803,454","37,416","21,473,764 ",Africa,,"64828,90127",,,4
167,Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277 ",North America,,"21,8180",,,"340,116"
